area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道北,宗谷,中頓別町,入込総数,2.4,5.7,8.2,6,8.5,6.2,4.700,1.600,1.500,2.000,1.200,1.200,49.2,53.3,92.307692,
道北,宗谷,中頓別町,内道外客,0.1,0.3,0.4,0.9,0.9,0.9,0.200,0.000,0.000,0.000,0.000,0.000,3.7,4.5,82.222222,
道北,宗谷,中頓別町,内道内客,2.3,5.4,7.8,5.1,7.6,5.3,4.500,1.600,1.500,2.000,1.200,1.200,45.5,48.8,93.237705,
道北,宗谷,中頓別町,内日帰客,2.2,5.4,7.5,5.2,7.7,5.5,4.100,1.200,1.200,1.600,1.000,1.100,43.7,47.8,91.422594,
道北,宗谷,中頓別町,内宿泊客,0.2,0.3,0.7,0.8,0.8,0.7,0.600,0.400,0.300,0.400,0.200,0.100,5.5,5.5,100,
道北,宗谷,中頓別町,宿泊客延数,0.2,0.3,0.7,1,1.1,0.9,0.600,0.400,0.300,0.400,0.200,0.100,6.2,6.5,95.384615,
道北,宗谷,枝幸町,入込総数,8.9,16.5,22.3,52.4,33.5,33.4,14.600,10.700,6.300,5.400,5.500,6.600,216.1,238.4,90.645973,
道北,宗谷,枝幸町,内道外客,0.9,4.9,5.6,15.7,10.1,8.4,1.500,0.500,0.300,0.300,0.300,0.300,48.8,51.3,95.126706,
道北,宗谷,枝幸町,内道内客,8,11.6,16.7,36.7,23.4,25,13.100,10.200,6.000,5.100,5.200,6.300,167.3,187.1,89.417424,
道北,宗谷,枝幸町,内日帰客,7.3,14.2,19.8,48,29.2,30.1,11.700,8.300,4.600,4.000,4.000,5.000,186.2,209.1,89.048302,
道北,宗谷,枝幸町,内宿泊客,1.6,2.3,2.5,4.4,4.3,3.3,2.900,2.400,1.700,1.400,1.500,1.600,29.9,29.3,102.047782,
道北,宗谷,枝幸町,宿泊客延数,1.7,2.6,2.8,4.9,4.7,3.7,3.200,2.700,1.900,1.600,1.700,1.800,33.3,32.6,102.147239,
道北,宗谷,豊富町,入込総数,16.7,34.4,51.1,37.4,37.8,25.2,29.600,10.000,8.600,10.000,7.900,10.700,279.4,220.9,126.482571,
道北,宗谷,豊富町,内道外客,0.7,1.3,3.5,4,3.2,2,1.300,0.900,0.600,0.500,0.500,0.600,19.1,114.5,16.681223,
道北,宗谷,豊富町,内道内客,16,33.1,47.6,33.4,34.6,23.2,28.300,9.100,8.000,9.500,7.400,10.100,260.3,106.4,244.642857,
道北,宗谷,豊富町,内日帰客,14.2,30.9,46.5,32.4,32.8,21.5,26.400,7.500,6.500,7.900,6.200,8.500,241.3,195.8,123.237998,
道北,宗谷,豊富町,内宿泊客,2.5,3.5,4.6,5,5,3.7,3.200,2.500,2.100,2.100,1.700,2.200,38.1,25.1,151.792829,
道北,宗谷,豊富町,宿泊客延数,2.7,3.9,5.1,5.5,5.5,4.1,3.500,2.800,2.300,2.300,1.900,2.400,42,27.3,153.846154,
道北,宗谷,礼文町,入込総数,3.3,9.4,27.7,25.2,18.8,20.3,6.500,1.300,1.100,0.900,0.900,1.100,116.5,122.1,95.413595,
道北,宗谷,礼文町,内道外客,1.3,4.2,23.5,20.2,15,15.2,3.900,0.900,0.600,0.500,0.600,0.600,86.5,90.2,95.898004,
道北,宗谷,礼文町,内道内客,2,5.2,4.2,5,3.8,5.1,2.600,0.400,0.500,0.400,0.300,0.500,30,31.9,94.043887,
道北,宗谷,礼文町,内日帰客,2.2,6.3,15.3,12.6,8.7,12.7,5.400,0.900,0.800,0.800,0.700,0.800,67.2,73.2,91.803279,
道北,宗谷,礼文町,内宿泊客,1.1,3.1,12.4,12.6,10.1,7.6,1.100,0.400,0.300,0.100,0.200,0.300,49.3,48.9,100.817996,
道北,宗谷,礼文町,宿泊客延数,1.4,3.5,14.2,14,11.3,8,1.300,0.800,0.500,0.300,0.300,0.500,56.1,54.2,103.505535,
道北,宗谷,利尻町,入込総数,4.1,10.3,28.2,27.6,24.9,23.6,7.300,1.600,1.600,1.000,1.000,1.600,132.8,139.9,94.924946,
道北,宗谷,利尻町,内道外客,1.8,5.6,16.1,11,5.5,11.1,4.600,0.000,0.000,0.000,0.000,0.000,55.7,60,92.833333,
道北,宗谷,利尻町,内道内客,2.3,4.7,12.1,16.6,19.4,12.5,2.700,1.600,1.600,1.000,1.000,1.600,77.1,79.9,96.49562,
道北,宗谷,利尻町,内日帰客,3.4,8.3,22.2,21.4,19.7,19.2,5.800,0.800,1.300,0.700,0.700,1.100,104.6,117.1,89.325363,
道北,宗谷,利尻町,内宿泊客,0.7,2,6,6.2,5.2,4.4,1.500,0.800,0.300,0.300,0.300,0.500,28.2,22.8,123.684211,
道北,宗谷,利尻町,宿泊客延数,0.8,2.2,6.6,6.8,5.7,4.8,1.700,0.900,0.400,0.400,0.400,0.600,31.3,25.3,123.715415,
道北,宗谷,利尻富士町,入込総数,4.1,10.3,28.2,27.6,24.9,23.6,7.300,1.600,1.600,1.000,1.000,1.600,132.8,139.9,94.924946,
道北,宗谷,利尻富士町,内道外客,1.8,5.6,16.1,11,5.5,11.1,4.600,0.000,0.000,0.000,0.000,0.000,55.7,60,92.833333,
道北,宗谷,利尻富士町,内道内客,2.3,4.7,12.1,16.6,19.4,12.5,2.700,1.600,1.600,1.000,1.000,1.600,77.1,79.9,96.49562,
道北,宗谷,利尻富士町,内日帰客,2.8,5.2,12.8,12,13.4,12.9,5.200,1.300,1.300,0.900,0.800,1.200,69.8,73.4,95.095368,
道北,宗谷,利尻富士町,内宿泊客,1.3,5.1,15.4,15.6,11.5,10.7,2.100,0.300,0.300,0.100,0.200,0.400,63,66.5,94.736842,
道北,宗谷,利尻富士町,宿泊客延数,1.7,5.7,17,17.8,14,12.2,2.900,0.800,0.700,0.300,0.700,1.300,75.1,76.4,98.298429,
オホーツク,オホーツク,北見市,入込総数,80.7,189,136.6,166.2,213.6,181.6,136.1,84.4,76.1,94.3,106.9,88.1,1553.6,1531.7,101.429784,
オホーツク,オホーツク,北見市,内道外客,17.7,36.7,33.6,40.1,45.7,39.9,33.1,21.3,14.4,17.1,31.9,21.3,352.8,362.9,97.216864,
オホーツク,オホーツク,北見市,内道内客,63,152.3,103,126.1,167.9,141.7,103,63.1,61.7,77.2,75,66.8,1200.8,1168.8,102.737851,
オホーツク,オホーツク,北見市,内日帰客,42.4,137.6,83.4,102.6,151.5,118.6,79.1,39.4,38.4,54.8,61.2,47.1,956.1,939,101.821086,
オホーツク,オホーツク,北見市,内宿泊客,38.3,51.4,53.2,63.6,62.1,63,57,45,37.7,39.5,45.7,41,597.5,592.7,100.809853,
オホーツク,オホーツク,北見市,宿泊客延数,45.8,60.4,64,75.3,78,75.1,62.1,50.7,41.9,44.5,52.5,45.9,696.2,701.4,99.258626,
オホーツク,オホーツク,網走市,入込総数,55.7,99,103,129.3,243.6,131.8,108.7,88.2,72.2,138.6,221.9,140.4,1532.4,1415.9,108.227982,
オホーツク,オホーツク,網走市,内道外客,15.1,38,49.9,53.9,106.6,51.1,47.2,30.5,16.7,26.5,81.3,46.8,563.6,504.3,111.758874,
オホーツク,オホーツク,網走市,内道内客,40.6,61,53.1,75.4,137,80.7,61.5,57.7,55.5,112.1,140.6,93.6,968.8,911.6,106.274682,
オホーツク,オホーツク,網走市,内日帰客,41.3,67.6,71.2,86,188.9,89.5,72.9,66,52.7,116.1,187.7,118.5,1158.4,1056.1,109.686583,
オホーツク,オホーツク,網走市,内宿泊客,14.4,31.4,31.8,43.3,54.7,42.3,35.8,22.2,19.5,22.5,34.2,21.9,374,359.8,103.946637,
オホーツク,オホーツク,網走市,宿泊客延数,18,39.3,39.8,54.1,68.4,52.9,44.8,27.8,24.4,28.1,42.8,27.4,467.8,449.9,103.978662,
オホーツク,オホーツク,紋別市,入込総数,13,39.2,24,115.6,46.8,34.4,39.7,15.2,14.5,12.7,96.6,21.3,473,460.5,102.714441,
オホーツク,オホーツク,紋別市,内道外客,4.8,14.6,8.9,43,17.4,12.8,14.7,5.7,5.4,4.7,35.9,7.9,175.8,170.1,103.35097,
オホーツク,オホーツク,紋別市,内道内客,8.2,24.6,15.1,72.6,29.4,21.6,25,9.5,9.1,8,60.7,13.4,297.2,290.4,102.341598,
オホーツク,オホーツク,紋別市,内日帰客,11.3,33.1,19.4,110.8,41.3,29.3,35.1,12.2,11.5,10.8,90.9,18.6,424.3,414.7,102.314926,
オホーツク,オホーツク,紋別市,内宿泊客,1.7,6.1,4.6,4.8,5.5,5.1,4.6,3,3,1.9,5.7,2.7,48.7,45.8,106.331878,
オホーツク,オホーツク,紋別市,宿泊客延数,1.7,6.1,4.6,4.8,5.5,5.1,4.6,3,3,1.9,5.7,2.7,48.7,45.8,106.331878,
オホーツク,オホーツク,美幌町,入込総数,21.3,50.6,80.3,179,201.5,128.1,89.4,18.3,9.6,9.2,8.1,11,806.4,765.6,105.329154,
オホーツク,オホーツク,美幌町,内道外客,6.4,15.2,24.1,53.7,60.5,38.4,26.8,5.5,2.9,2.8,2.4,3.3,242,229.9,105.263158,
オホーツク,オホーツク,美幌町,内道内客,14.9,35.4,56.2,125.3,141,89.7,62.6,12.8,6.7,6.4,5.7,7.7,564.4,535.7,105.357476,
オホーツク,オホーツク,美幌町,内日帰客,20.4,48.9,78,176.6,198.6,125.9,87.2,16.6,8.6,8.3,7.1,9.9,786.1,745.1,105.502617,
オホーツク,オホーツク,美幌町,内宿泊客,0.9,1.7,2.3,2.4,2.9,2.2,2.2,1.7,1,0.9,1,1.1,20.3,20.5,99.02439,
オホーツク,オホーツク,美幌町,宿泊客延数,1.1,2,2.5,2.9,3.5,2.7,2.8,2.2,1.2,1,1.2,1.2,24.3,24.5,99.183673,
オホーツク,オホーツク,津別町,入込総数,7.9,19.8,33.4,18.2,49.3,59,37.9,17.3,11.6,8.3,7.9,7.5,278.1,258.3,107.665505,
オホーツク,オホーツク,津別町,内道外客,2,5.5,9.6,5.2,14.5,17.6,11,4.9,3.2,2.2,2.2,1.9,79.8,44.8,178.125,
オホーツク,オホーツク,津別町,内道内客,5.9,14.3,23.8,13,34.8,41.4,26.9,12.4,8.4,6.1,5.7,5.6,198.3,213.5,92.880562,
オホーツク,オホーツク,津別町,内日帰客,7.7,19.1,32.4,16.5,46.5,57.4,36.9,16.9,11.2,7.8,7.3,7.2,266.9,249.6,106.93109,
オホーツク,オホーツク,津別町,内宿泊客,0.2,0.7,1,1.7,2.8,1.6,1,0.4,0.4,0.5,0.6,0.3,11.2,8.7,128.735632,
オホーツク,オホーツク,津別町,宿泊客延数,0.2,0.8,1.2,2.2,4.9,1.9,1.1,0.5,0.6,0.6,0.7,0.3,15,10.1,148.514851,
オホーツク,オホーツク,斜里町,入込総数,24.8,56.1,90.7,173.6,277.1,213.9,172.8,31.6,26,23,91.5,52.8,1233.9,1142.6,107.990548,
オホーツク,オホーツク,斜里町,内道外客,15.2,43.2,73.6,140,225.1,162.8,98.6,16.1,10.4,10.2,53.2,31.3,879.7,816.7,107.713971,
オホーツク,オホーツク,斜里町,内道内客,9.6,12.9,17.1,33.6,52,51.1,74.2,15.5,15.6,12.8,38.3,21.5,354.2,325.9,108.683645,
オホーツク,オホーツク,斜里町,内日帰客,9.7,22.6,46.1,110,199.4,153.9,126.9,7.8,10.5,3.8,57.3,32.2,780.2,730.7,106.774326,
オホーツク,オホーツク,斜里町,内宿泊客,15.1,33.5,44.6,63.6,77.7,60,45.9,23.8,15.5,19.2,34.2,20.6,453.7,411.9,110.148094,
オホーツク,オホーツク,斜里町,宿泊客延数,15.4,34.2,45.5,64.9,79.3,61.2,46.8,24.3,15.8,19.6,34.9,21,462.9,420.3,110.135617,
オホーツク,オホーツク,清里町,入込総数,2.6,13.2,13.6,23.8,29,22.4,11.3,4.6,5.3,4.4,7.5,5.4,143.1,122,117.295082,
オホーツク,オホーツク,清里町,内道外客,1,5.1,5.6,10.2,12.8,9.3,4.6,0.9,1.3,1,3.2,1.4,56.4,32.3,174.613003,
オホーツク,オホーツク,清里町,内道内客,1.6,8.1,8,13.6,16.2,13.1,6.7,3.7,4,3.4,4.3,4,86.7,89.7,96.655518,
オホーツク,オホーツク,清里町,内日帰客,2.1,12.2,12.1,20,23.8,19.9,10.2,4.1,4.9,4,6.7,4.9,124.9,107.4,116.294227,
