area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
オホーツク,オホーツク,美幌町,内道内客,18.7,25.3,37.099999999999994,76.99999999999999,127.6,60.8,59.3,10.700000000000001,4.6,5.000000000000001,3.4000000000000004,6.699999999999999,436.19999999999993,481.7,90.5542869005605
オホーツク,オホーツク,美幌町,内日帰客,30.2,40.800000000000004,60.199999999999996,125.99999999999999,210.6,99.5,97.1,16.2,6.6,7.700000000000001,4.9,10.0,709.8000000000001,693.2,102.39469128678593
オホーツク,オホーツク,美幌町,内宿泊客,1.0,1.3,1.6,2.2,2.0,1.8,1.7,1.6,1.1,0.6,0.8,1.1,16.8,19.799999999999997,84.84848484848486
オホーツク,オホーツク,美幌町,宿泊客延数,1.0,1.5,1.8,2.5,2.6,2.2,2.1,1.8,1.2,0.7,0.9,1.2,19.5,23.1,84.4155844155844
オホーツク,オホーツク,津別町,入込総数,13.6,28.6,26.7,35.8,40.1,28.1,25.5,14.3,9.3,10.7,11.6,13.3,257.6,244.6,105.31479967293542
オホーツク,オホーツク,津別町,内道外客,3.7,8.2,7.7,10.4,12.0,8.3,7.3,3.9,2.5,2.8,3.2,3.6,73.6,69.8,105.44412607449856
オホーツク,オホーツク,津別町,内道内客,9.899999999999999,20.400000000000002,19.0,25.4,28.1,19.8,18.2,10.4,6.800000000000001,7.8999999999999995,8.399999999999999,9.700000000000001,184.0,174.8,105.26315789473684
オホーツク,オホーツク,津別町,内日帰客,13.2,27.700000000000003,25.7,34.099999999999994,37.1,26.700000000000003,24.3,13.9,8.9,10.399999999999999,11.299999999999999,13.0,246.30000000000004,232.99999999999994,105.70815450643781
オホーツク,オホーツク,津別町,内宿泊客,0.4,0.9,1.0,1.7,3.0,1.4,1.2,0.4,0.4,0.3,0.3,0.3,11.300000000000002,11.600000000000001,97.41379310344828
オホーツク,オホーツク,津別町,宿泊客延数,0.4,1.1,1.0,1.8,3.1,1.5,1.4,0.6,0.5,0.4,0.5,0.4,12.700000000000001,13.899999999999999,91.36690647482017
オホーツク,オホーツク,斜里町,入込総数,23.0,58.0,91.0,171.0,273.0,199.0,174.5,32.6,26.4,21.7,88.1,59.4,1217.7,1188.3000000000002,102.47412269628879
オホーツク,オホーツク,斜里町,内道外客,13.3,44.0,74.0,138.0,222.0,151.0,100.0,16.6,10.6,9.8,51.4,35.3,865.9999999999999,848.3000000000001,102.08652599316277
オホーツク,オホーツク,斜里町,内道内客,9.7,14.0,17.0,33.0,51.0,48.0,74.5,16.0,15.799999999999999,11.899999999999999,36.699999999999996,24.1,351.7,340.0,103.44117647058823
オホーツク,オホーツク,斜里町,内日帰客,9.0,24.0,46.0,108.0,196.0,143.0,127.9,8.100000000000001,10.599999999999998,3.599999999999998,55.199999999999996,36.3,767.7,747.5,102.70234113712375
オホーツク,オホーツク,斜里町,内宿泊客,14.0,34.0,45.0,63.0,77.0,56.0,46.6,24.5,15.8,18.1,32.9,23.1,450.00000000000006,440.79999999999995,102.08711433756807
オホーツク,オホーツク,斜里町,宿泊客延数,14.0,35.0,46.0,64.0,78.0,57.0,47.5,25.0,16.1,18.5,33.6,23.6,458.30000000000007,449.99999999999994,101.84444444444448
オホーツク,オホーツク,清里町,入込総数,4.8,19.1,20.0,28.3,33.0,21.7,17.5,6.8,4.7,3.6,3.9,4.8,168.20000000000002,152.29999999999998,110.43992120814185
オホーツク,オホーツク,清里町,内道外客,1.2,7.0,8.7,17.2,20.8,9.9,13.2,2.5,2.1,2.2,2.5,2.2,89.5,68.69999999999999,130.2765647743814
オホーツク,オホーツク,清里町,内道内客,3.5999999999999996,12.100000000000001,11.3,11.100000000000001,12.2,11.799999999999999,4.300000000000001,4.3,2.6,1.4,1.4,2.5999999999999996,78.69999999999999,83.59999999999998,94.13875598086125
オホーツク,オホーツク,清里町,内日帰客,4.3999999999999995,18.1,18.5,24.8,28.1,19.4,16.1,6.2,4.1000000000000005,3.1,3.3,4.3,150.4,117.4,128.1090289608177
オホーツク,オホーツク,清里町,内宿泊客,0.4,1.0,1.5,3.5,4.9,2.3,1.4,0.6,0.6,0.5,0.6,0.5,17.800000000000004,34.900000000000006,51.0028653295129
オホーツク,オホーツク,清里町,宿泊客延数,0.4,1.0,1.5,3.5,4.9,2.3,1.4,0.6,0.6,0.5,0.6,0.5,17.800000000000004,35.7,49.859943977591044
オホーツク,オホーツク,小清水町,入込総数,17.7,43.4,70.5,107.7,97.4,64.5,43.0,18.5,14.0,13.9,21.7,18.9,531.2,410.19999999999993,129.49780594831793
オホーツク,オホーツク,小清水町,内道外客,12.5,29.5,52.1,76.4,69.1,45.7,28.7,13.1,9.9,9.8,15.4,13.4,375.59999999999997,290.0,129.51724137931032
